EVE,YEAR,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,BOAT_CODE,WS_CODE,BOAT_LENGTH,BOAT_DIST,BOAT_DROP,DROP_POSITION,BOAT_VIOLATE,BOAT_VIOLATE_DROP
22_E65,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,9,13AUG22_F05_P1_0009_B01,13AUG22_F05_P1_0009_S01,8.778,6.297,N/A,N/A,violate min dis,no violate drop off
22_E66,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,131,13AUG22_F05_P1_0131_B02,13AUG22_F05_P1_0131_S02,7.406,0.863,N/A,N/A,violate min dis,no violate drop off
22_E69,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,434,13AUG22_F05_P1_0434_B01,13AUG22_F05_P1_0434_S01,11.144,13.003,13.003,side,no violate min dis,violate drop off
22_E70,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,42,13AUG22_F05_P2_0042_B01,13AUG22_F05_P2_0042_S01,11.276,4.557,N/A,N/A,violate min dis,no violate drop off
22_E71,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,140,13AUG22_F05_P2_0140_B01,13AUG22_F05_P2_0140_S01,8.124,6.985,6.985,head,violate min dis,violate drop off
22_E73,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P2,451,403,13AUG22_F05_P2_0403_B01,13AUG22_F05_P2_0403_S01,10.164,15.451,15.451,side,no violate min dis,violate drop off
22_E75,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,128,13AUG22_F05_P3_0128_B01,13AUG22_F05_P3_0128_S01,9.395,7.768,7.768,head,violate min dis,violate drop off
22_E77,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,402,13AUG22_F05_P3_0402_B01,13AUG22_F05_P3_0402_S01,9.951,14.114,14.114,head,no violate min dis,violate drop off
22_E78,2022,13-Aug-22,13AUG22_F05,13AUG22_F05_P3,451,416,13AUG22_F05_P3_0416_B01,13AUG22_F05_P3_0416_S01,9.951,9.423,N/A,N/A,violate min dis,no violate drop off
22_E80,2022,14-Aug-22,14AUG22_F01,14AUG22_F01_P1,451,132,14AUG22_F01_P1_0132_B01,14AUG22_F01_P1_0132_S01,9.416,7.984,N/A,N/A,violate min dis,no violate drop off
22_E81,2022,14-Aug-23,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_B01,14AUG22_F01_P1_0040_S01,10.69,9.782,9.782,head,violate min dis,violate drop off
22_E81,2022,14-Aug-24,14AUG22_F01,14AUG22_F01_P1,451,40,14AUG22_F01_P1_0040_B02,14AUG22_F01_P1_0040_S01,9.247,5.559,N/A,N/A,violate min dis,no violate drop off
22_E82,2022,14-Aug-25,14AUG22_F01,14AUG22_F01_P1,451,55,14AUG22_F01_P1_0055_B01,14AUG22_F01_P1_0055_S01,10.905,5.667,N/A,N/A,violate min dis,no violate drop off
22_E83,2022,14-Aug-26,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_B01,14AUG22_F01_P1_0155_S01,9.068,0,N/A,N/A,violate min dis,no violate drop off
22_E83,2022,14-Aug-27,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_B02,14AUG22_F01_P1_0155_S01,8.412,4.969,4.969,N/A,violate min dis,violate drop off
22_E83,2022,14-Aug-28,14AUG22_F01,14AUG22_F01_P1,451,155,14AUG22_F01_P1_0155_B03,14AUG22_F01_P1_0155_S01,10.136,1.888,N/A,N/A,violate min dis,no violate drop off
22_E84,2022,14-Aug-29,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_B01,14AUG22_F01_P1_0214_S01,10.268,4.048,N/A,N/A,violate min dis,no violate drop off
22_E84,2022,14-Aug-30,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_B02,14AUG22_F01_P1_0214_S01,9.962,4.153,N/A,N/A,violate min dis,no violate drop off
22_E84,2022,14-Aug-31,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_B03,14AUG22_F01_P1_0214_S01,10.123,2.671,N/A,N/A,violate min dis,no violate drop off
22_E84,2022,14-Aug-32,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_B04,14AUG22_F01_P1_0214_S01,9.776,2.741,N/A,N/A,violate min dis,no violate drop off
22_E84,2022,14-Aug-33,14AUG22_F01,14AUG22_F01_P1,451,214,14AUG22_F01_P1_0214_B05,14AUG22_F01_P1_0214_S01,10.768,1.764,N/A,N/A,violate min dis,no violate drop off
22_E85,2022,14-Aug-34,14AUG22_F01,14AUG22_F01_P1,451,245,14AUG22_F01_P1_0245_B01,14AUG22_F01_P1_0245_S01,10.046,5.675,N/A,N/A,violate min dis,no violate drop off
22_E85,2022,14-Aug-35,14AUG22_F01,14AUG22_F01_P1,451,245,14AUG22_F01_P1_0245_B02,14AUG22_F01_P1_0245_S01,9.868,2.537,N/A,N/A,violate min dis,no violate drop off
