EVE,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,SWIM_CODE,WS_CODE,G_NO_SWIM,H_OR_T,SWIM_DIST,NO_TOUCHING,SWIM_VIOLATION
22_E30,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,207,13AUG22_F03_P1_0207_G03,13AUG22_F03_P1_0207_S01,2,head,2,2,violate
22_E31,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,219,13AUG22_F03_P1_0219_G03,13AUG22_F03_P1_0219_S01,2,tail,0,0,violate
22_E32,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,256,13AUG22_F03_P1_0256_G01,13AUG22_F03_P1_0256_S01,2,tail,0,0,violate
22_E32,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,256,13AUG22_F03_P1_0256_G02,13AUG22_F03_P1_0256_G01,3,head,0,0,violate
22_E33,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,410,13AUG22_F03_P1_0410_G01,13AUG22_F03_P1_0410_S01,2,tail,0,0,violate
22_E33,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,410,13AUG22_F03_P1_0410_G02,13AUG22_F03_P1_0410_S02,2,head,0,0,violate
22_E34,13-Aug-22,13AUG22_F03,13AUG22_F03_P1,451,438,13AUG22_F03_P1_0438_G02,13AUG22_F03_P1_0438_S01,2,tail,0,0,violate
22_E35,13-Aug-22,13AUG22_F03,13AUG22_F03_P2,451,130,13AUG22_F03_P2_0130_G01,13AUG22_F03_P2_0130_S01,2,tail,0,0,violate
22_E36,13-Aug-22,13AUG22_F03,13AUG22_F03_P2,451,247,13AUG22_F03_P2_0247_G01,13AUG22_F03_P2_0247_S01,3,head,3,3,violate
22_E37,13-Aug-22,13AUG22_F03,13AUG22_F03_P2,451,340,13AUG22_F03_P2_0340_G01,13AUG22_F03_P2_0340_S01,2,head,2,2,violate
22_E38,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,317,13AUG22_F03_P3_0317_G01,13AUG22_F03_P3_0317_S01,2,tail,0,0,violate
22_E38,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,317,13AUG22_F03_P3_0317_G02,13AUG22_F03_P3_0317_S01,3,tail,0,0,violate
22_E39,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,351,13AUG22_F03_P3_0351_G01,13AUG22_F03_P3_0351_S01,2,tail,0,0,violate
22_E39,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,351,13AUG22_F03_P3_0351_G02,13AUG22_F03_P3_0351_S01,3,tail,0,0,violate
22_E40,13-Aug-22,13AUG22_F03,13AUG22_F03_P3,451,449,13AUG22_F03_P3_0449_G01,13AUG22_F03_P3_0449_S01,3,tail,0,0,violate
22_E41,13-Aug-22,13AUG22_F03,13AUG22_F03_P4,451,33,13AUG22_F03_P4_0033_G01,13AUG22_F03_P4_0033_S01,3,tail,0,0,violate
22_E43,13-Aug-22,13AUG22_F04,13AUG22_F04_P1,451,433,13AUG22_F04_P1_0433_G01,13AUG22_F04_P1_0433_S01,2,head,0,0,violate
22_E44,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,26,13AUG22_F04_P2_0026_G01,13AUG22_F04_P2_0026_S01,2,tail,0,0,violate
22_E45,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,143,13AUG22_F04_P2_0143_G03,13AUG22_F04_P2_0143_S01,3,tail,0,0,violate
22_E45,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,143,13AUG22_F04_P2_0143_G01,13AUG22_F04_P2_0143_S01,2,tail,0,0,violate
22_E45,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,143,13AUG22_F04_P2_0143_G02,13AUG22_F04_P2_0143_S01,2,head,0,0,violate
22_E46,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,239,13AUG22_F04_P2_0239_G01,13AUG22_F04_P2_0239_S01,3,head,0,0,violate
22_E46,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,239,13AUG22_F04_P2_0239_G02,13AUG22_F04_P2_0239_S01,2,head,0,0,violate
22_E46,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,239,13AUG22_F04_P2_0239_G03,13AUG22_F04_P2_0239_S01,2,tail,0,0,violate
22_E47,13-Aug-22,13AUG22_F04,13AUG22_F04_P2,451,447,13AUG22_F04_P2_0447_G01,13AUG22_F04_P2_0447_S01,2,tail,0,0,violate
22_E48,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,25,13AUG22_F04_P3_0025_G01,13AUG22_F04_P3_0025_S01,2,tail,0,0,violate
22_E49,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,158,13AUG22_F04_P3_0158_G01,13AUG22_F04_P3_0158_S01,2,head,0,0,violate
22_E50,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,356,13AUG22_F04_P3_0356_G01,13AUG22_F04_P3_0356_S01,2,tail,0,0,violate
22_E50,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,356,13AUG22_F04_P3_0356_G02,13AUG22_F04_P3_0356_S01,3,tail,0,0,violate
22_E50,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,356,13AUG22_F04_P3_0356_G03,13AUG22_F04_P3_0356_S01,3,tail,0,0,violate
22_E50,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,356,13AUG22_F04_P3_0356_G04,13AUG22_F04_P3_0356_S01,2,tail,0,0,violate
22_E51,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,415,13AUG22_F04_P3_0415_G01,13AUG22_F04_P3_0415_S01,3,head,0,0,violate
22_E51,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,415,13AUG22_F04_P3_0415_G02,13AUG22_F04_P3_0415_S01,2,tail,0,0,violate
22_E51,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,415,13AUG22_F04_P3_0415_G03,13AUG22_F04_P3_0415_S01,3,tail,0,0,violate
22_E51,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,415,13AUG22_F04_P3_0415_G04,13AUG22_F04_P3_0415_S01,2,tail,0,0,violate
22_E52,13-Aug-22,13AUG22_F04,13AUG22_F04_P3,451,447,13AUG22_F04_P3_0447_G01,13AUG22_F04_P3_0447_S01,2,tail,0,0,violate
22_E53,13-Aug-22,13AUG22_F06,13AUG22_F06_P1,451,13,13AUG22_F06_P1_0013_G01,13AUG22_F06_P1_0013_S01,2,tail,0,0,violate
22_E54,13-Aug-22,13AUG22_F06,13AUG22_F06_P1,451,113,13AUG22_F06_P1_0113_G01,13AUG22_F06_P1_0113_S01,2,head,0,0,violate
22_E55,13-Aug-22,13AUG22_F06,13AUG22_F06_P1,451,221,13AUG22_F06_P1_0221_G01,13AUG22_F06_P1_0221_S01,1,head,0,0,violate
22_E56,13-Aug-22,13AUG22_F06,13AUG22_F06_P2,451,325,13AUG22_F06_P2_0325_G01,13AUG22_F06_P2_0325_S01,2,head,0,0,violate
22_E56,13-Aug-22,13AUG22_F06,13AUG22_F06_P2,451,325,13AUG22_F06_P2_0325_G02,13AUG22_F06_P2_0325_S02,3,tail,0,0,violate
22_E57,13-Aug-22,13AUG22_F06,13AUG22_F06_P2,451,341,13AUG22_F06_P2_0341_G01,13AUG22_F06_P2_0341_S01,2,tail,0,0,violate
22_E57,13-Aug-22,13AUG22_F06,13AUG22_F06_P2,451,341,13AUG22_F06_P2_0341_G02,13AUG22_F06_P2_0341_S02,3,tail,0,0,violate
22_E58,13-Aug-22,13AUG22_F06,13AUG22_F06_P2,451,450,13AUG22_F06_P2_0450_G01,13AUG22_F06_P2_0450_S01,3,tail,0,0,violate
22_E58,13-Aug-22,13AUG22_F06,13AUG22_F06_P2,451,450,13AUG22_F06_P2_0450_G02,13AUG22_F06_P2_0450_S02,3,tail,0,0,violate
22_E59,13-Aug-22,13AUG22_F06,13AUG22_F06_P3,451,21,13AUG22_F06_P3_0021_G01,13AUG22_F06_P3_0021_S01,3,head,0,0,violate
22_E59,13-Aug-22,13AUG22_F06,13AUG22_F06_P3,451,21,13AUG22_F06_P3_0021_G02,13AUG22_F06_P3_0021_S02,3,head,0,0,violate
22_E59,13-Aug-22,13AUG22_F06,13AUG22_F06_P3,451,21,13AUG22_F06_P3_0021_G03,13AUG22_F06_P3_0021_S02,3,tail,0,0,violate
22_E60,13-Aug-22,13AUG22_F06,13AUG22_F06_P3,451,126,13AUG22_F06_P3_0126_G01,13AUG22_F06_P3_0126_S01,2,tail,0,0,violate
22_E60,13-Aug-22,13AUG22_F06,13AUG22_F06_P3,451,126,13AUG22_F06_P3_0126_G02,13AUG22_F06_P3_0126_S02,2,head,1,1,violate
22_E60,13-Aug-22,13AUG22_F06,13AUG22_F06_P3,451,126,13AUG22_F06_P3_0126_G03,13AUG22_F06_P3_0126_S03,3,head,0,0,violate
22_E61,13-Aug-22,13AUG22_F06,13AUG22_F06_P3,451,309,13AUG22_F06_P3_0309_G01,13AUG22_F06_P3_0309_S01,3,tail,0,0,violate
22_E61,13-Aug-22,13AUG22_F06,13AUG22_F06_P3,451,309,13AUG22_F06_P3_0309_G02,13AUG22_F06_P3_0309_S02,3,tail,0,0,violate
22_E64,13-Aug-22,13AUG22_F08,13AUG22_F08_P2,451,258,13AUG22_F08_P2_0258_G01,13AUG22_F08_P2_0258_S01,3,tail,0,0,violate
22_E65,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,9,13AUG22_F05_P1_0009_G01,13AUG22_F05_P1_0009_S01,2,tail,0,0,violate
22_E65,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,9,13AUG22_F05_P1_0009_G02,13AUG22_F05_P1_0009_S02,2,tail,0,0,violate
22_E65,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,9,13AUG22_F05_P1_0009_G03,13AUG22_F05_P1_0009_S02,1,head,0,0,violate
22_E66,13-Aug-22,13AUG22_F05,13AUG22_F05_P1,451,131,13AUG22_F05_P1_0131_G01,13AUG22_F05_P1_0131_S01,2,tail,0,0,violate
