"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_BOAT_VIOLATIONS","POLICE_PRESENCE","FRE_BOAT_VIOLATION","RATE_BOAT_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","AVE_FOOTAGE_AREA_km","FRE_BOAT_VIOLATION_min","FRE_BOAT_VIOLATION_min_count","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_BOAT_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"15","26AUG16080501207","2016","Friday","2016-08-26",452,34652.586,61,3,3,3,"no",0.00663716814159292,8.65736254142764e-05,8.65736254142764e-05,0.00176033038342362,0.034652586,0.4,0,0.4,0.4,8.1,2.09186406167839,2,0.000233748788618546,-8.36126357218946,0.05,-2.99573227355399,-0.916290731874155,-0.916290731874155,-0.916290731874155,"2016_Friday"
"16","26AUG16082601301","2016","Friday","2016-08-26",444,35124.667,281,31,64,15,"no",0.0337837837837838,0.000427050311964523,0.000882570644726682,0.0080000758441354,0.035124667,2.03,2,8.65,4.19,37.97,3.63679637424371,2,0.0010810066896862,-6.82986255192035,0.23,-1.46967597005894,0.708035793053696,2.15755932094379,1.43270073393405,"2016_Friday"
"17","26AUG16082601304","2016","Friday","2016-08-26",451,38767.931,169,20,50,10,"no",0.0221729490022173,0.000257945155752573,0.000515890311505146,0.00435927313221848,0.038767931,1.33,1,6.65,2.66,22.48,3.11262602502549,2,0.000579860710131784,-7.45272263821083,0.3,-1.20397280432594,0.285178942233662,1.89461685466776,0.978326122793608,"2016_Friday"
"18","26AUG16090201401","2016","Friday","2016-08-26",186,34385.418,254,55,72,25,"no",0.134408602150538,0.000727052380168826,0.00159951523637142,0.00738685218251527,0.034385418,8.06,8,23.23,17.74,81.94,4.40598727211873,2,0.00238298688124134,-6.0394005860249,0.28,-1.27296567581289,2.08691355651854,3.14544454678232,2.87582197688143,"2016_Friday"
"19","26AUG16090201404","2016","Friday","2016-08-26",238,39120.499,355,102,96,24,"no",0.100840336134454,0.00061348910707913,0.0026073287050863,0.00907452637554546,0.039120499,6.05,6,24.2,25.71,89.5,4.49423862528081,2,0.00228780312848259,-6.08016325441031,0.27,-1.30933331998376,1.80005827204275,3.18635263316264,3.2468800212778,"2016_Friday"
"20","26AUG16090201406","2016","Friday","2016-08-26",418,37472.127,403,168,165,41,"no",0.0980861244019139,0.0010941465906112,0.00448333237128493,0.0107546603906418,0.037472127,5.89,6,23.68,24.11,57.85,4.05785345363969,2,0.0015438141528502,-6.47349920194928,0.41,-0.891598119283784,1.7732559976635,3.1646308100158,3.18262669219308,"2016_Friday"
"21","26AUG16093101503","2016","Friday","2016-08-26",287,38476.609,245,107,75,20,"no",0.0696864111498258,0.000519796326126349,0.00278091034477597,0.00636750499504777,0.038476609,4.18,4,15.68,22.37,51.22,3.93613008077138,2,0.00133119839120958,-6.62167569642452,0.31,-1.17118298150295,1.43031124653666,2.75238601492226,3.10772077550204,"2016_Friday"
"22","26AUG16093101505","2016","Friday","2016-08-26",509,38309.622,284,174,228,41,"no",0.0805500982318271,0.0010702272134139,0.00454193988131754,0.00741328118559875,0.038309622,4.83,5,26.88,20.51,33.48,3.51094824562127,2,0.000873931880612134,-7.04250812514925,0.8,-0.22314355131421,1.57484646766448,3.29138251565495,3.02091257208429,"2016_Friday"
"23","26AUG16100001601","2016","Friday","2016-08-26",207,38203.712,104,68,115,21,"no",0.101449275362319,0.000549684805497434,0.00177993175113455,0.00272224856055872,0.038203712,6.09,6,33.33,19.71,30.14,3.40585319319835,2,0.000788928573223461,-7.14483476945022,1.11,0.104360015324243,1.80664808172181,3.50645789231965,2.98112612116463,"2016_Friday"
"24","26AUG16100001603","2016","Friday","2016-08-26",561,38664.13,399,260,315,80,"no",0.142602495543672,0.0020691012574187,0.00672457908661077,0.0103196425213758,0.03866413,8.56,9,33.69,27.81,42.67,3.75349609719991,2,0.0011036068831757,-6.80917147862021,0.79,-0.23572233352107,2.14710019015365,3.51720105741846,3.32539566824587,"2016_Friday"
"25","26AUG16103801701","2016","Friday","2016-08-26",561,38705.512,531,265,282,71,"no",0.126559714795009,0.00183436405646824,0.00684657006991666,0.0137189762533047,0.038705512,7.59,8,30.16,28.34,56.79,4.03936025388934,2,0.00146723288403988,-6.52437704392706,0.53,-0.63487827243597,2.02683159140754,3.40651654313976,3.34427423426253,"2016_Friday"
